ArticleItem;LT_Revision;Product Group;Installation;Optic;Beam & Material;Modulation;Power Supply;/;Lampcolor;Length;Light Direct;Light Indirect;Driver;Trough wiring;Colour;LLMF 50kh;Error Code;Luminous flux (lumen);Power (Watt);Power factor;Luminous flux uplight;Luminous flux downlight;UGR;Shielding angle C0;Shielding angle C90;Number of drivers
V3RB12M/W6M0D5X0;_LTRevAA;V3;R;B;1;2;M;/;W;6;M;0;D;5;X0;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB12M/W6M0D5X1;_LTRevAA;V3;R;B;1;2;M;/;W;6;M;0;D;5;X1;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB12M/W6M0D5X2;_LTRevAA;V3;R;B;1;2;M;/;W;6;M;0;D;5;X2;0.956709417;0;5350;27;0.96;0;5350;19;60;65;1
V3RB13C/N3M0D0X0;_LTRevAA;V3;R;B;1;3;C;/;N;3;M;0;D;0;X0;0.962100681;0;2900;34;0.9;0;2900;19;60;65;1
V3RB13C/N3M0D0X1;_LTRevAA;V3;R;B;1;3;C;/;N;3;M;0;D;0;X1;0.962100681;0;2900;34;0.9;0;2900;19;60;65;1
V3RB13C/N3M0D0X2;_LTRevAA;V3;R;B;1;3;C;/;N;3;M;0;D;0;X2;0.962100681;0;2900;34;0.9;0;2900;19;60;65;1
V3RB13C/N4M0D0X0;_LTRevAA;V3;R;B;1;3;C;/;N;4;M;0;D;0;X0;0.962100681;0;3750;40;0.93;0;3750;19;60;65;1
V3RB13C/N4M0D0X1;_LTRevAA;V3;R;B;1;3;C;/;N;4;M;0;D;0;X1;0.962100681;0;3750;40;0.93;0;3750;19;60;65;1
V3RB13C/N4M0D0X2;_LTRevAA;V3;R;B;1;3;C;/;N;4;M;0;D;0;X2;0.962100681;0;3750;40;0.93;0;3750;19;60;65;1
V3RB13C/N5M0D0X0;_LTRevAA;V3;R;B;1;3;C;/;N;5;M;0;D;0;X0;0.962100681;0;4650;22;0.95;0;4650;19;60;65;1
V3RB13C/N5M0D0X1;_LTRevAA;V3;R;B;1;3;C;/;N;5;M;0;D;0;X1;0.962100681;0;4650;22;0.95;0;4650;19;60;65;1
V3RB13C/N5M0D0X2;_LTRevAA;V3;R;B;1;3;C;/;N;5;M;0;D;0;X2;0.962100681;0;4650;22;0.95;0;4650;19;60;65;1
V3RB13C/N6M0D0X0;_LTRevAA;V3;R;B;1;3;C;/;N;6;M;0;D;0;X0;0.962100681;0;5600;27;0.96;0;5600;19;60;65;1
V3RB13C/N6M0D0X1;_LTRevAA;V3;R;B;1;3;C;/;N;6;M;0;D;0;X1;0.962100681;0;5600;27;0.96;0;5600;19;60;65;1
